Acceptance Probability
Layer: 0, Bt :0.102861, At: 1, Delta_E: 6.32033, Acceptance Probability: 1.65344e-09, Is Accepted:0
Layer: 0, Bt :0.102861, At: 1, Delta_E: 0.42268, Acceptance Probability: 0.258653, Is Accepted:0
Layer: 0, Bt :0.102861, At: 1, Delta_E: 6.9524, Acceptance Probability: 2.18862e-10, Is Accepted:0
Layer: 0, Bt :0.102861, At: 1, Delta_E: 1.54011, Acceptance Probability: 0.00724653, Is Accepted:0
Layer: 0, Bt :0.102861, At: 1, Delta_E: 6.08084, Acceptance Probability: 3.5574e-09, Is Accepted:0
Layer: 0, Bt :0.102861, At: 1, Delta_E: 5.17085, Acceptance Probability: 6.53881e-08, Is Accepted:0
Layer: 0, Bt :0.102861, At: 1, Delta_E: 3.90018, Acceptance Probability: 3.81066e-06, Is Accepted:0
Layer: 0, Bt :0.102861, At: 1, Delta_E: 3.9432, Acceptance Probability: 3.32066e-06, Is Accepted:0
Layer: 0, Bt :0.102861, At: 1, Delta_E: 0.474111, Acceptance Probability: 0.219411, Is Accepted:1
Layer: 0, Bt :0.0915686, At: 1, Delta_E: 3.39817, Acceptance Probability: 4.96849e-06, Is Accepted:0
Layer: 0, Bt :0.0915686, At: 1, Delta_E: -0.77309, Acceptance Probability: 16.0923, Is Accepted:1
Layer: 0, Bt :0.0915686, At: 1, Delta_E: 7.63914, Acceptance Probability: 1.19408e-12, Is Accepted:0
Layer: 0, Bt :0.0915686, At: 1, Delta_E: -2.36214, Acceptance Probability: 4861.44, Is Accepted:1
Layer: 0, Bt :0.0915686, At: 1, Delta_E: 0, Acceptance Probability: 1, Is Accepted:0
Layer: 0, Bt :0.0915686, At: 1, Delta_E: -7.61328, Acceptance Probability: 7.63145e+11, Is Accepted:1
Layer: 0, Bt :0.0915686, At: 1, Delta_E: 0.88454, Acceptance Probability: 0.0416326, Is Accepted:0
Layer: 0, Bt :0.0915686, At: 1, Delta_E: 0, Acceptance Probability: 1, Is Accepted:0
Layer: 0, Bt :0.0915686, At: 1, Delta_E: 7.73071, Acceptance Probability: 8.59239e-13, Is Accepted:0
Layer: 0, Bt :0.0915686, At: 1, Delta_E: 2.8718, Acceptance Probability: 3.29439e-05, Is Accepted:0
Layer: 0, Bt :0.0815157, At: 1, Delta_E: 5.58724, Acceptance Probability: 1.60011e-10, Is Accepted:0
Layer: 0, Bt :0.0815157, At: 1, Delta_E: 1.39307, Acceptance Probability: 0.00361071, Is Accepted:0
Layer: 0, Bt :0.0815157, At: 1, Delta_E: 2.8718, Acceptance Probability: 9.2259e-06, Is Accepted:0
Layer: 0, Bt :0.0815157, At: 1, Delta_E: 1.5422, Acceptance Probability: 0.00197753, Is Accepted:0
Layer: 0, Bt :0.0815157, At: 1, Delta_E: 0.672101, Acceptance Probability: 0.0663186, Is Accepted:1
Layer: 0, Bt :0.0815157, At: 1, Delta_E: 5.78481, Acceptance Probability: 7.20715e-11, Is Accepted:0
Layer: 0, Bt :0.0815157, At: 1, Delta_E: 5.78481, Acceptance Probability: 7.20715e-11, Is Accepted:0
Layer: 0, Bt :0.0815157, At: 1, Delta_E: 10.938, Acceptance Probability: 6.65188e-20, Is Accepted:0
Layer: 0, Bt :0.0815157, At: 1, Delta_E: 9.53356, Acceptance Probability: 1.92863e-17, Is Accepted:0
Layer: 0, Bt :0.0815157, At: 1, Delta_E: 3.89471, Acceptance Probability: 1.48452e-07, Is Accepted:0
Layer: 0, Bt :0.0725665, At: 1, Delta_E: 4.6346, Acceptance Probability: 7.45222e-10, Is Accepted:0
Layer: 0, Bt :0.0725665, At: 1, Delta_E: 0.00381208, Acceptance Probability: 0.982861, Is Accepted:1
Layer: 0, Bt :0.0725665, At: 1, Delta_E: 0.0366089, Acceptance Probability: 0.847032, Is Accepted:1
Layer: 0, Bt :0.0725665, At: 1, Delta_E: 10.5625, Acceptance Probability: 1.57566e-21, Is Accepted:0
Layer: 0, Bt :0.0725665, At: 1, Delta_E: -2.03679, Acceptance Probability: 10265.9, Is Accepted:1
Layer: 0, Bt :0.0725665, At: 1, Delta_E: -3.03264, Acceptance Probability: 939063, Is Accepted:1
Layer: 0, Bt :0.0725665, At: 1, Delta_E: 10.5236, Acceptance Probability: 1.87987e-21, Is Accepted:0
Layer: 0, Bt :0.0725665, At: 1, Delta_E: -2.10151, Acceptance Probability: 13768, Is Accepted:1
Layer: 0, Bt :0.0725665, At: 1, Delta_E: 2.26931, Acceptance Probability: 3.3935e-05, Is Accepted:0
Layer: 0, Bt :0.0725665, At: 1, Delta_E: -2.20308, Acceptance Probability: 21822.7, Is Accepted:1
Layer: 0, Bt :0.0645998, At: 1, Delta_E: -2.79849, Acceptance Probability: 1.55328e+06, Is Accepted:1
Layer: 0, Bt :0.0645998, At: 1, Delta_E: 3.84723, Acceptance Probability: 3.08009e-09, Is Accepted:0
Layer: 0, Bt :0.0645998, At: 1, Delta_E: -4.66284, Acceptance Probability: 2.06948e+10, Is Accepted:1
Layer: 0, Bt :0.0645998, At: 1, Delta_E: 0, Acceptance Probability: 1, Is Accepted:0
Layer: 0, Bt :0.0645998, At: 1, Delta_E: 2.48217, Acceptance Probability: 3.22512e-06, Is Accepted:0
Layer: 0, Bt :0.0645998, At: 1, Delta_E: 3.59671, Acceptance Probability: 1.10355e-08, Is Accepted:0
Layer: 0, Bt :0.0645998, At: 1, Delta_E: 6.29124, Acceptance Probability: 1.20652e-14, Is Accepted:0
Layer: 0, Bt :0.0645998, At: 1, Delta_E: 0, Acceptance Probability: 1, Is Accepted:0
Layer: 0, Bt :0.0645998, At: 1, Delta_E: 3.33768, Acceptance Probability: 4.12922e-08, Is Accepted:0
Layer: 0, Bt :0.0645998, At: 1, Delta_E: -1.982, Acceptance Probability: 24259.7, Is Accepted:1
Layer: 0, Bt :0.0575077, At: 1, Delta_E: 5.5009, Acceptance Probability: 2.13409e-14, Is Accepted:0
Layer: 0, Bt :0.0575077, At: 1, Delta_E: 2.29037, Acceptance Probability: 2.03233e-06, Is Accepted:0
Layer: 0, Bt :0.0575077, At: 1, Delta_E: 4.66284, Acceptance Probability: 2.58193e-12, Is Accepted:0
Layer: 0, Bt :0.0575077, At: 1, Delta_E: 5.54451, Acceptance Probability: 1.6627e-14, Is Accepted:0
Layer: 0, Bt :0.0575077, At: 1, Delta_E: 1.42513, Acceptance Probability: 0.000287256, Is Accepted:0
Layer: 0, Bt :0.0575077, At: 1, Delta_E: 2.29037, Acceptance Probability: 2.03233e-06, Is Accepted:0
Layer: 0, Bt :0.0575077, At: 1, Delta_E: -5.49723, Acceptance Probability: 4.58855e+13, Is Accepted:1
Layer: 0, Bt :0.0575077, At: 1, Delta_E: 3.8137, Acceptance Probability: 3.32821e-10, Is Accepted:0
Layer: 0, Bt :0.0575077, At: 1, Delta_E: 3.87333, Acceptance Probability: 2.36607e-10, Is Accepted:0
Layer: 0, Bt :0.0575077, At: 1, Delta_E: -3.54524, Acceptance Probability: 6.4657e+08, Is Accepted:1
Layer: 0, Bt :0.0511943, At: 1, Delta_E: 12.2788, Acceptance Probability: 5.26793e-35, Is Accepted:0
Layer: 0, Bt :0.0511943, At: 1, Delta_E: 0, Acceptance Probability: 1, Is Accepted:0
Layer: 0, Bt :0.0511943, At: 1, Delta_E: 1.49641, Acceptance Probability: 6.64527e-05, Is Accepted:0
Layer: 0, Bt :0.0511943, At: 1, Delta_E: 19.4581, Acceptance Probability: 4.77705e-55, Is Accepted:0
Layer: 0, Bt :0.0511943, At: 1, Delta_E: 3.51183, Acceptance Probability: 1.57076e-10, Is Accepted:0
Layer: 0, Bt :0.0511943, At: 1, Delta_E: 2.31597, Acceptance Probability: 3.42431e-07, Is Accepted:0
Layer: 0, Bt :0.0511943, At: 1, Delta_E: 0, Acceptance Probability: 1, Is Accepted:0
Layer: 0, Bt :0.0511943, At: 1, Delta_E: 8.00942, Acceptance Probability: 4.36814e-23, Is Accepted:0
Layer: 0, Bt :0.0511943, At: 1, Delta_E: 2.75102, Acceptance Probability: 2.08953e-08, Is Accepted:0
Layer: 0, Bt :0.0511943, At: 1, Delta_E: 3.279, Acceptance Probability: 7.01591e-10, Is Accepted:0
Layer: 0, Bt :0.0455739, At: 1, Delta_E: 0.0821642, Acceptance Probability: 0.552506, Is Accepted:0
Layer: 0, Bt :0.0455739, At: 1, Delta_E: 4.46651, Acceptance Probability: 9.84506e-15, Is Accepted:0
Layer: 0, Bt :0.0455739, At: 1, Delta_E: 12.3243, Acceptance Probability: 2.24583e-39, Is Accepted:0
Layer: 0, Bt :0.0455739, At: 1, Delta_E: 0.000407256, Acceptance Probability: 0.997064, Is Accepted:1
Layer: 0, Bt :0.0455739, At: 1, Delta_E: 5.89178, Acceptance Probability: 3.33921e-19, Is Accepted:0
Layer: 0, Bt :0.0455739, At: 1, Delta_E: 1.74496, Acceptance Probability: 3.3719e-06, Is Accepted:0
Layer: 0, Bt :0.0455739, At: 1, Delta_E: 9.61489, Acceptance Probability: 7.04869e-31, Is Accepted:0
Layer: 0, Bt :0.0455739, At: 1, Delta_E: 6.8046, Acceptance Probability: 4.58214e-22, Is Accepted:0
Layer: 0, Bt :0.0455739, At: 1, Delta_E: -4.07125, Acceptance Probability: 5.8513e+12, Is Accepted:1
